Var1,foldSize,accuracy,sensitivity,specificity
KNN Classifier k-5,5,0.920424403183024,0,0.991428571428571
KNN Classifier k-7,5,0.925729442970822,0,0.997142857142857
Decision Tree,5,0.931034482758621,0.037037037037037,1
SVM,5,0.877984084880637,0.111111111111111,0.937142857142857
Linear SVM Model,5,0.928381962864722,0,1
KNN Classifier k-5,10,0.909574468085106,0,0.977142857142857
KNN Classifier k-7,10,0.920212765957447,0,0.988571428571429
Decision Tree,10,0.930851063829787,0,1
SVM,10,0.909574468085106,0,0.977142857142857
Linear SVM Model,10,0.930851063829787,0,1
