Var1,foldSize,accuracy,sensitivity,specificity
KNN Classifier k-5,5,0.923076923076923,0.0740740740740741,0.988571428571429
KNN Classifier k-7,5,0.928381962864722,0.037037037037037,0.997142857142857
Decision Tree,5,0.928381962864722,0,1
Linear SVM Model,5,0.877984084880637,0.148148148148148,0.934285714285714
Linear SVM Model,5,0.928381962864722,0,1
KNN Classifier k-5,10,0.914893617021277,0,0.982857142857143
KNN Classifier k-7,10,0.936170212765957,0.0769230769230769,1
Decision Tree,10,0.925531914893617,0,0.994285714285714
Linear SVM Model,10,0.888297872340426,0.153846153846154,0.942857142857143
Linear SVM Model,10,0.930851063829787,0,1
KNN Classifier k-5,5,0.793103448275862,0.9,0.436781609195402
KNN Classifier k-7,5,0.803713527851459,0.910344827586207,0.448275862068966
Decision Tree,5,0.803713527851459,0.917241379310345,0.425287356321839
Linear SVM Model,5,0.740053050397878,0.855172413793103,0.35632183908046
Linear SVM Model,5,0.76657824933687,0.903448275862069,0.310344827586207
KNN Classifier k-5,10,0.781914893617021,0.868965517241379,0.488372093023256
KNN Classifier k-7,10,0.76063829787234,0.83448275862069,0.511627906976744
Decision Tree,10,0.792553191489362,0.882758620689655,0.488372093023256
Linear SVM Model,10,0.75,0.827586206896552,0.488372093023256
Linear SVM Model,10,0.797872340425532,0.931034482758621,0.348837209302326
KNN Classifier k-5,5,0.904509283819629,0.971428571428571,0.037037037037037
KNN Classifier k-7,5,0.920424403183024,0.988571428571429,0.037037037037037
Decision Tree,5,0.928381962864722,0.997142857142857,0.037037037037037
Linear SVM Model,5,0.880636604774536,0.948571428571429,0
Linear SVM Model,5,0.928381962864722,1,0
KNN Classifier k-5,10,0.925531914893617,0.994285714285714,0
KNN Classifier k-7,10,0.930851063829787,1,0
Decision Tree,10,0.930851063829787,1,0
Linear SVM Model,10,0.893617021276596,0.96,0
Linear SVM Model,10,0.930851063829787,1,0
KNN Classifier k-5,5,0.702917771883289,0.822222222222222,0.401869158878505
KNN Classifier k-7,5,0.726790450928382,0.862962962962963,0.383177570093458
Decision Tree,5,0.745358090185676,0.885185185185185,0.392523364485981
Linear SVM Model,5,0.702917771883289,0.82962962962963,0.383177570093458
Linear SVM Model,5,0.76657824933687,0.933333333333333,0.345794392523364
KNN Classifier k-5,10,0.670212765957447,0.792592592592593,0.358490566037736
KNN Classifier k-7,10,0.654255319148936,0.777777777777778,0.339622641509434
Decision Tree,10,0.675531914893617,0.814814814814815,0.320754716981132
Linear SVM Model,10,0.659574468085106,0.755555555555556,0.415094339622642
Linear SVM Model,10,0.680851063829787,0.8,0.377358490566038
KNN Classifier k-5,5,0.96551724137931,0,0.997260273972603
KNN Classifier k-7,5,0.96816976127321,0,1
Decision Tree,5,0.96816976127321,0,1
Linear SVM Model,5,0.954907161803713,0,0.986301369863014
Linear SVM Model,5,0.96816976127321,0,1
KNN Classifier k-5,10,0.968085106382979,0,1
KNN Classifier k-7,10,0.968085106382979,0,1
Decision Tree,10,0.968085106382979,0,1
Linear SVM Model,10,0.957446808510638,0,0.989010989010989
Linear SVM Model,10,0.968085106382979,0,1
KNN Classifier k-5,5,0.785145888594164,0.745762711864407,0.82
KNN Classifier k-7,5,0.79840848806366,0.757062146892655,0.835
Decision Tree,5,0.795755968169761,0.751412429378531,0.835
Linear SVM Model,5,0.758620689655172,0.717514124293785,0.795
Linear SVM Model,5,0.840848806366048,0.824858757062147,0.855
KNN Classifier k-5,10,0.808510638297872,0.829545454545455,0.79
KNN Classifier k-7,10,0.781914893617021,0.795454545454545,0.77
Decision Tree,10,0.803191489361702,0.818181818181818,0.79
Linear SVM Model,10,0.75,0.738636363636364,0.76
Linear SVM Model,10,0.845744680851064,0.863636363636364,0.83
